Model,R2_Exp1,MAE_Exp1,RMSE_Exp1,R2_Exp2,MAE_Exp2,RMSE_Exp2
Decision Tree,0.00649566072380392,88.01461425111859,114.2713872480863,0.03239200663736341,72.39469224268875,112.77227436460542
Random Forest,0.011067009439830855,87.89547352882512,114.00818928450326,0.5409830343766451,52.21324754788782,77.6724464632674
Gradient Boosting,0.006568944199093818,88.0089584749984,114.26717269235455,0.4977706187598886,55.25589516064508,81.24631524785352
AdaBoost,-0.11494586753243885,101.60708885604856,121.05410096207281,0.17925613862398027,78.4550393400943,103.86194162564365
XGBoost,0.5803991037020246,48.80515804871702,74.26271439372748,0.627229625386273,46.64224715306787,69.99601420913449
