Model,R2,MAE,RMSE,R2_Tuned,MAE_Tuned,RMSE_Tuned
Decision Tree,0.25747526322380554,62.55841548841738,98.78888388845192,0.554126884921379,49.80524967745477,76.55230268536113
Random Forest,0.6454477142587838,46.14906057278335,68.2641615415526,0.6529667264564931,45.381452146981694,67.53644152295352
Gradient Boosting,0.6401969826814344,45.652412894446485,68.76778184631353,0.6525246208589445,44.85409254854317,67.57944710430989
AdaBoost,-0.7729782386526245,139.63354401407275,152.65263953938896,0.5534206577437422,51.87722649566024,76.61290504485524
XGBoost,0.6298059118031677,46.41176352163787,69.75371701013812,0.6563685402458626,44.54059822996432,67.20461138189425
